"ClusterID","File-Name","Cluster","Group","PD-1"
5740,"RR_P40_CD3+_7500","CD4 Th2-like EM","R/R",2.20069796393493
5704,"RR_P46_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",2.05095536963165
5708,"RR_P46_CD3+_7500","CD4 Th17 CM","R/R",1.72984325913139
5710,"RR_P46_CD3+_7500","CD4 Th2 CM (1)","R/R",2.45488048439084
5723,"RR_P46_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.56323256354907
5724,"RR_P46_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.86831891372031
5732,"RR_P46_CD3+_7500","CD4 Th1 EM GrB+","R/R",1.89098465188511
5739,"RR_P46_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",2.29492429099144
5740,"RR_P46_CD3+_7500","CD4 Th2-like EM","R/R",2.1183206966736
5704,"RR_P49_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",2.14035521181389
5708,"RR_P49_CD3+_7500","CD4 Th17 CM","R/R",1.32611513155544
5710,"RR_P49_CD3+_7500","CD4 Th2 CM (1)","R/R",1.54937020363573
5723,"RR_P49_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.9620922831167
5724,"RR_P49_CD3+_7500","CD8 Tc1 EM (1)","R/R",2.05708811161434
5732,"RR_P49_CD3+_7500","CD4 Th1 EM GrB+","R/R",2.55341246445221
5739,"RR_P49_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",2.10387502881845
5740,"RR_P49_CD3+_7500","CD4 Th2-like EM","R/R",1.93100658556171
5704,"RR_P52_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",0.610849436265363
5708,"RR_P52_CD3+_7500","CD4 Th17 CM","R/R",1.01798633444771
5710,"RR_P52_CD3+_7500","CD4 Th2 CM (1)","R/R",1.22968546717029
5723,"RR_P52_CD3+_7500","CD8 Tc1 EM (1)","R/R",0.365573131940156
5724,"RR_P52_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.7485249557123
5732,"RR_P52_CD3+_7500","CD4 Th1 EM GrB+","R/R",0.00183957008979684
5739,"RR_P52_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",2.01870065478306
5740,"RR_P52_CD3+_7500","CD4 Th2-like EM","R/R",1.09414516922774
5704,"RR_P55_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",1.38217256948308
5708,"RR_P55_CD3+_7500","CD4 Th17 CM","R/R",0.00130373946729418
5710,"RR_P55_CD3+_7500","CD4 Th2 CM (1)","R/R",0.0442206968325018
5723,"RR_P55_CD3+_7500","CD8 Tc1 EM (1)","R/R",0.000743741365776622
5724,"RR_P55_CD3+_7500","CD8 Tc1 EM (1)","R/R",0.5955620524447
5732,"RR_P55_CD3+_7500","CD4 Th1 EM GrB+","R/R",0.0014615472070955
5739,"RR_P55_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",0.76946442411854
5740,"RR_P55_CD3+_7500","CD4 Th2-like EM","R/R",0.594207292865208
5704,"RR_P58_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",1.6907773169812
5708,"RR_P58_CD3+_7500","CD4 Th17 CM","R/R",1.35039924171322
5710,"RR_P58_CD3+_7500","CD4 Th2 CM (1)","R/R",2.02620113264725
5723,"RR_P58_CD3+_7500","CD8 Tc1 EM (1)","R/R",0.343646178650433
5724,"RR_P58_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.09854886771722
5732,"RR_P58_CD3+_7500","CD4 Th1 EM GrB+","R/R",1.23236928483256
5739,"RR_P58_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",1.6493174741526
5740,"RR_P58_CD3+_7500","CD4 Th2-like EM","R/R",2.00980006550067
5704,"RR_P61_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",2.03382751928457
5708,"RR_P61_CD3+_7500","CD4 Th17 CM","R/R",1.37238108353764
5710,"RR_P61_CD3+_7500","CD4 Th2 CM (1)","R/R",1.79448648820247
5723,"RR_P61_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.01978267850969
5724,"RR_P61_CD3+_7500","CD8 Tc1 EM (1)","R/R",2.22642159552279
5732,"RR_P61_CD3+_7500","CD4 Th1 EM GrB+","R/R",2.16600002996389
5739,"RR_P61_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",2.28123174107837
5740,"RR_P61_CD3+_7500","CD4 Th2-like EM","R/R",2.6048519837388
5704,"RR_P64_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",1.80728849391008
5708,"RR_P64_CD3+_7500","CD4 Th17 CM","R/R",0.740915854741501
5710,"RR_P64_CD3+_7500","CD4 Th2 CM (1)","R/R",0.530320362846538
5723,"RR_P64_CD3+_7500","CD8 Tc1 EM (1)","R/R",0.647919338538014
5724,"RR_P64_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.80742597529183
5732,"RR_P64_CD3+_7500","CD4 Th1 EM GrB+","R/R",0.698522245803922
5739,"RR_P64_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",1.33831167193878
5740,"RR_P64_CD3+_7500","CD4 Th2-like EM","R/R",1.88647632291931
5704,"RR_P67_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",0.155045249168546
5708,"RR_P67_CD3+_7500","CD4 Th17 CM","R/R",0.00145588666009662
5710,"RR_P67_CD3+_7500","CD4 Th2 CM (1)","R/R",0.142659736996501
5723,"RR_P67_CD3+_7500","CD8 Tc1 EM (1)","R/R",0.000528022481472243
5724,"RR_P67_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.65639655989469
5732,"RR_P67_CD3+_7500","CD4 Th1 EM GrB+","R/R",0.298464231960944
5739,"RR_P67_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",0.182884165543482
5740,"RR_P67_CD3+_7500","CD4 Th2-like EM","R/R",0.00188484261445769
5704,"RR_P70_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",0.188268269385248
5708,"RR_P70_CD3+_7500","CD4 Th17 CM","R/R",0.151844877752429
5710,"RR_P70_CD3+_7500","CD4 Th2 CM (1)","R/R",0.245038718324537
5723,"RR_P70_CD3+_7500","CD8 Tc1 EM (1)","R/R",0.668864391845297
5724,"RR_P70_CD3+_7500","CD8 Tc1 EM (1)","R/R",2.02992896010541
5732,"RR_P70_CD3+_7500","CD4 Th1 EM GrB+","R/R",1.06108336502184
5739,"RR_P70_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",0.448821657958062
5740,"RR_P70_CD3+_7500","CD4 Th2-like EM","R/R",1.10792287702611
5704,"RR_P73_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",0.663372558634759
